loan_amnt,term,int_rate,grade,sub_grade,emp_length,home_ownership,annual_inc,purpose,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_util,total_acc,mort_acc,credit_score,loan_default
15000,36,19.872356497299776,E,E2,6 years,RENT,87133.73,credit_card,39.33,0,3,25,0,67.2,31,1,639,0
15000,36,13.511099298057905,C,C2,5 years,MORTGAGE,29565.64,other,2.22,0,3,12,0,13.0,21,0,682,0
35000,36,19.12082965440425,E,E5,3 years,RENT,246699.54,small_business,35.85,0,0,4,0,89.1,7,1,638,1
5000,60,15.823910476759274,D,D1,8 years,RENT,27794.21,credit_card,17.17,0,4,22,0,52.7,33,3,632,0
10000,60,5.939671663815341,A,A1,5 years,RENT,99433.37,debt_consolidation,18.53,0,1,20,0,96.8,26,0,736,0
15000,60,24.7844504910291,G,G2,1 year,RENT,116494.71,small_business,43.77,0,0,17,2,15.7,21,1,535,1
10000,60,16.763750605516286,D,D4,10+ years,MORTGAGE,24248.98,debt_consolidation,25.58,2,1,29,0,28.3,42,1,661,0
25000,36,18.875440417363016,E,E5,8 years,MORTGAGE,41365.57,credit_card,1.65,0,1,11,1,84.3,25,0,634,1
15000,36,7.082635338907232,A,A3,9 years,OWN,47195.24,debt_consolidation,35.72,0,4,22,0,38.9,35,3,737,0
30000,36,12.497746824547285,C,C3,2 years,RENT,,small_business,24.95,0,0,27,0,27.2,28,4,673,0
25000,36,10.11913075183153,B,B5,3 years,RENT,46760.19,debt_consolidation,34.97,1,1,18,0,7.2,32,2,714,0
15000,60,22.848070847690668,F,F1,3 years,MORTGAGE,27366.89,debt_consolidation,6.8,0,0,2,2,67.6,7,2,606,0
30000,60,15.828320430233314,D,D5,2 years,RENT,72769.11,debt_consolidation,11.81,0,0,21,0,68.9,25,4,638,0
10000,60,20.33546203736401,E,E2,10+ years,RENT,28896.92,major_purchase,40.97,0,0,7,1,67.3,8,2,619,0
20000,36,13.410738556261753,C,C2,4 years,MORTGAGE,52212.31,debt_consolidation,19.34,0,1,5,3,30.1,14,1,661,1
